Table 3.1. Government Current Receipts and Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1969 To 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published February 26, 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 2/26/2016 9:31:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,            Nondurable goods,W106RA3,36.694,31.576,32.197,33.747,31.177,31.429,33.044,33.548,35.180,36.513,36.345,36.897,39.312,39.021,41.967,40.453,44.242,51.156,47.979,44.670,50.612,50.889,53.447,55.352,57.523,58.819,60.929,62.096,65.527,70.414,73.720,77.612,83.900,87.583,87.921,90.398,91.333,92.680,94.563,94.148,100.000,96.571,92.112,90.259,87.680,87.379,88.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,            Services,W107RA3,23.857,25.156,26.969,27.664,27.360,28.790,29.572,28.727,29.244,29.642,30.285,30.551,30.645,33.260,35.720,37.334,40.971,43.708,45.072,46.306,47.743,50.411,53.149,55.097,55.382,58.531,59.142,60.164,62.828,64.878,69.519,71.261,77.750,84.598,87.128,89.350,90.102,91.829,91.660,94.002,100.000,101.087,95.227,92.983,87.792,86.501,87.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,        Less: Own-account investment \4\,W108RA3,43.466,43.360,43.106,44.176,43.930,44.507,43.615,42.685,41.262,43.123,46.066,47.569,47.356,48.335,50.746,54.235,58.486,62.453,64.880,66.737,70.377,73.182,73.568,72.919,72.179,71.473,71.250,70.873,72.717,73.680,74.858,77.600,84.955,88.022,88.953,89.170,91.715,94.706,97.514,99.346,100.000,97.665,98.253,97.175,95.052,93.401,94.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,        Less: Sales to other sectors \5\,W109RA3,31.701,32.820,35.343,39.430,41.417,41.922,41.352,42.878,45.264,47.707,50.302,50.606,51.918,52.843,54.281,54.643,56.475,58.534,59.911,61.444,62.936,64.295,66.632,69.180,71.866,75.098,76.462,78.009,79.612,82.395,83.909,88.591,92.719,94.469,95.117,96.035,97.332,99.148,99.178,98.778,100.000,102.360,103.221,101.760,101.587,102.052,102.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Federal consumption expenditures \1\,A957RA3,64.344,60.534,57.968,56.300,53.403,53.241,53.085,52.232,53.068,53.956,54.583,56.816,59.205,61.201,64.380,64.958,68.490,71.784,73.177,73.363,75.183,76.748,77.731,76.588,74.535,72.469,70.275,68.978,69.234,67.853,68.881,69.171,71.841,76.289,81.260,84.643,85.651,87.123,88.011,93.871,100.000,104.446,101.709,100.843,95.158,92.983,92.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,      Gross output of general government,W110RA3,63.886,60.219,57.738,56.657,54.012,53.994,53.568,52.610,53.569,54.571,55.391,57.467,59.639,61.517,64.637,65.393,68.951,72.283,73.803,74.134,75.936,77.596,78.570,77.360,75.217,73.504,70.958,69.679,69.520,68.363,69.075,69.615,72.260,76.613,81.496,84.746,86.105,87.509,88.277,94.035,100.000,104.333,101.988,100.774,95.250,93.163,92.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,        Value added,W111RA3,82.281,79.654,76.801,73.946,71.917,72.027,71.855,72.147,72.543,73.620,73.891,75.222,76.602,78.140,80.239,82.444,85.260,87.464,90.321,92.144,93.637,95.352,95.951,94.427,92.888,90.334,87.478,85.438,83.990,83.120,82.509,82.974,83.331,84.758,87.018,88.371,89.589,90.336,91.634,95.118,100.000,103.418,104.515,104.426,102.465,101.551,100.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,          Compensation of general government employees,B568RA3,120.073,113.663,108.013,102.736,98.972,99.356,98.902,99.051,99.174,100.505,99.930,101.230,102.304,103.298,104.858,105.896,107.371,107.196,108.431,108.275,108.450,109.582,109.223,105.567,102.567,98.133,93.322,89.914,87.676,86.381,85.196,85.914,86.211,88.207,90.909,91.568,91.697,90.865,90.891,94.298,100.000,103.650,103.824,102.779,99.395,98.123,97.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,          Consumption of general government fixed capital \2\,B995RA3,45.130,45.715,45.404,44.845,44.490,44.347,44.434,44.835,45.447,46.242,47.228,48.507,50.068,51.987,54.430,57.524,61.398,65.694,69.955,73.596,76.319,78.554,80.092,80.805,80.828,80.298,79.562,79.021,78.461,78.079,78.131,78.293,78.718,79.403,81.034,83.400,86.276,89.506,92.849,96.460,100.000,103.031,105.680,107.194,107.611,107.298,107.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,        Intermediate goods and services purchased \3\,W113RA3,37.778,32.915,30.967,32.436,28.800,28.599,27.839,25.266,26.915,27.779,29.244,32.048,34.939,37.062,41.146,40.108,44.337,48.884,48.621,47.017,49.153,50.666,52.098,51.359,48.454,47.958,45.916,45.739,47.407,45.864,48.492,49.137,55.115,63.820,72.752,78.991,80.572,83.023,82.944,92.312,100.000,105.810,97.949,94.957,83.821,79.880,80.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,          Durable goods,W114RA3,41.012,36.866,26.910,33.709,30.758,26.908,28.392,25.900,32.484,35.865,39.217,41.520,48.079,52.506,62.591,63.763,68.925,73.803,78.604,81.082,78.360,76.063,72.923,66.237,60.462,52.136,47.713,47.782,48.212,48.585,51.818,51.700,52.313,55.206,60.329,66.729,67.696,73.878,80.671,94.096,100.000,103.065,97.742,97.724,85.684,80.202,78.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,          Nondurable goods,W115RA3,96.890,62.469,55.930,59.829,45.575,44.359,42.195,35.361,35.112,37.977,38.218,45.269,55.082,51.577,58.092,46.124,53.361,70.572,52.370,32.970,54.493,49.617,52.597,52.255,52.954,45.511,44.771,43.459,48.806,52.495,47.463,53.698,62.196,67.481,77.602,85.277,86.853,85.718,85.221,91.450,100.000,100.550,92.869,88.480,77.469,73.155,73.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,          Services,W116RA3,25.600,25.958,27.466,26.840,24.967,26.052,24.946,23.275,23.966,23.654,24.901,26.774,26.642,29.846,31.626,32.794,36.126,37.805,39.814,40.674,40.568,44.288,46.612,47.334,44.557,47.182,45.526,45.477,46.819,44.005,47.673,47.558,54.228,64.638,74.101,80.049,81.749,84.167,82.886,92.165,100.000,107.309,98.971,95.772,84.776,81.176,81.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,      Less: Own-account investment \4\,W117RA3,55.062,54.223,53.468,55.648,55.277,55.098,54.307,54.293,52.726,54.322,56.619,58.165,58.362,59.644,63.909,67.692,72.710,76.625,79.546,80.912,83.676,86.434,84.828,84.138,82.762,80.514,79.335,76.897,75.219,75.205,74.323,75.438,83.833,88.025,90.429,89.990,92.487,94.771,97.529,98.818,100.000,99.740,102.542,103.100,102.055,98.735,97.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,      Less: Sales to other sectors,W118RA3,55.452,52.575,50.161,93.186,106.077,121.557,95.364,79.621,103.225,112.375,124.718,115.461,106.513,100.444,93.881,99.685,99.925,104.550,113.270,124.198,120.185,126.659,137.592,127.380,113.333,147.454,105.067,110.153,76.894,92.384,69.207,91.680,69.167,65.227,71.430,76.047,107.623,99.115,80.759,92.773,100.000,109.998,127.565,86.336,80.472,91.143,86.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,    Defense consumption expenditures \1\,A997RA3,82.458,75.800,70.102,65.680,61.162,59.506,58.273,57.049,57.392,57.820,58.337,60.035,63.023,66.523,69.535,71.283,75.059,79.065,81.910,83.798,84.323,84.656,85.950,82.392,79.627,76.130,73.111,71.829,70.774,68.850,70.010,69.013,70.986,74.836,80.653,84.779,85.721,86.577,87.964,94.034,100.000,103.705,102.112,99.670,93.023,89.500,88.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,      Gross output of general government,W085RA3,80.777,74.387,68.892,65.188,61.114,59.699,58.114,56.533,56.916,57.344,57.886,59.630,62.603,66.130,69.043,71.023,74.864,78.891,81.719,83.614,84.112,84.657,85.670,82.275,79.538,76.511,72.992,71.764,70.552,68.590,69.666,68.851,71.075,75.047,80.767,84.709,85.846,86.959,88.317,94.270,100.000,103.533,102.260,99.855,93.347,89.832,89.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,        Value added,W086RA3,105.041,99.768,93.824,88.040,84.224,82.845,81.706,80.518,80.058,80.491,80.283,81.049,83.412,85.837,88.408,91.468,95.457,98.875,102.533,104.331,106.079,106.958,107.383,103.864,100.900,97.165,93.279,90.213,87.578,85.231,83.431,82.496,82.490,83.597,85.911,87.917,89.389,89.900,91.128,94.781,100.000,103.206,104.689,103.748,101.335,99.592,97.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,          Compensation of general government employees,B237RA3,154.522,143.310,132.418,122.371,116.091,114.413,112.813,110.574,109.584,110.373,109.492,110.137,113.534,116.140,117.929,119.573,121.829,122.283,123.398,121.892,121.888,121.109,120.677,113.746,108.901,103.271,97.649,93.498,90.072,87.202,85.077,84.445,84.981,87.181,90.217,91.884,92.212,90.835,90.531,93.936,100.000,103.243,104.279,102.248,98.633,96.587,94.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,          Consumption of general government fixed capital \2\,B432RA3,57.618,57.348,55.837,54.033,52.574,51.515,50.830,50.601,50.613,50.725,51.083,51.899,53.258,55.390,58.478,62.578,67.906,73.889,79.798,84.692,88.095,90.574,91.841,91.874,90.895,89.142,87.074,85.160,83.383,81.628,80.204,78.956,78.340,78.117,79.455,81.928,85.074,88.454,92.073,96.117,100.000,103.147,105.350,106.155,105.654,104.392,103.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,        Intermediate goods and services purchased \3\,W087RA3,51.616,43.710,38.567,37.521,32.748,31.213,29.033,26.963,28.362,28.776,30.163,32.857,36.239,40.690,43.785,44.468,47.943,52.493,54.245,56.176,55.173,55.304,56.971,53.828,51.439,49.354,46.370,47.425,47.991,46.546,51.243,50.592,55.629,63.304,73.610,80.217,80.888,82.843,84.385,93.553,100.000,103.998,98.852,94.416,82.253,76.292,76.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,          Durable goods,A998RA3,45.964,41.157,29.628,36.800,33.589,29.101,30.681,27.782,34.766,38.319,41.727,44.025,51.555,56.754,67.890,69.026,74.729,80.208,85.277,87.889,84.493,81.457,77.740,69.944,63.592,54.535,49.686,49.303,49.498,49.909,53.024,52.499,52.868,55.044,60.467,66.888,67.404,73.381,80.591,94.208,100.000,102.488,97.356,97.226,84.845,78.691,77.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,          Nondurable goods,A725RA3,262.643,182.828,149.469,152.300,113.158,97.787,80.998,65.013,61.377,62.213,64.090,70.076,74.113,73.777,77.266,73.138,71.285,90.356,88.517,85.751,83.046,74.130,75.486,69.825,64.028,58.257,47.716,52.683,53.059,54.816,61.261,64.273,66.108,75.515,81.769,93.008,93.625,91.527,92.558,95.570,100.000,96.413,98.767,94.388,80.681,72.824,75.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,          Services,A489RA3,31.015,28.711,29.243,24.649,22.656,23.757,21.939,21.947,21.855,21.039,21.617,24.027,26.012,31.325,31.441,32.733,36.293,38.841,39.749,41.993,42.014,44.316,47.793,46.476,45.764,46.339,44.728,45.818,46.511,44.225,49.165,48.122,54.739,63.641,75.522,81.641,82.355,83.833,84.053,93.095,100.000,105.368,99.075,93.655,81.810,76.205,76.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,      Less: Own-account investment \4\,W088RA3,46.320,45.534,44.710,47.696,47.913,46.896,45.251,44.846,43.577,44.157,45.976,46.728,48.188,52.207,59.559,66.046,73.080,78.261,79.861,80.689,82.478,82.772,78.000,75.275,71.771,68.297,66.815,64.376,62.799,61.849,61.112,63.970,73.559,81.244,84.052,83.292,86.628,91.569,98.809,100.326,100.000,100.011,107.644,107.607,104.112,101.026,100.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,      Less: Sales to other sectors,W089RA3,25.818,24.063,19.232,95.684,152.543,200.785,126.286,41.707,64.131,63.284,58.654,77.537,88.984,94.541,44.114,59.249,52.568,52.429,61.020,71.895,58.132,99.405,88.085,108.732,115.088,191.999,92.088,107.321,82.592,68.324,66.725,73.551,73.344,75.712,82.192,82.240,103.491,126.491,92.419,101.721,100.000,93.865,98.811,90.264,90.936,86.559,84.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,    Nondefense consumption expenditures \1\,A542RA3,31.613,32.852,35.757,38.976,39.033,41.610,43.429,43.254,44.992,46.731,47.565,50.827,52.059,51.087,54.631,52.857,55.931,57.835,56.338,53.109,57.544,61.602,61.970,65.617,64.952,65.630,65.005,63.678,66.402,66.037,66.819,69.504,73.477,79.043,82.418,84.390,85.525,88.180,88.103,93.554,100.000,105.859,100.948,103.089,99.230,99.594,100.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,      Gross output of general government,W128RA3,34.155,35.208,37.881,41.357,41.247,43.729,45.383,45.540,47.530,49.569,50.896,53.588,54.259,52.989,56.529,54.904,57.938,59.942,58.921,56.199,60.559,64.408,65.315,68.318,67.303,68.043,67.297,65.921,67.690,68.001,68.051,71.049,74.460,79.508,82.855,84.826,86.595,88.545,88.201,93.592,100.000,105.817,101.487,102.485,98.781,99.312,100.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,        Value added,W129RA3,46.272,47.847,49.865,51.692,52.556,55.089,56.482,59.159,60.935,63.052,64.100,66.361,66.134,66.204,67.530,68.304,69.154,69.312,70.838,72.734,73.814,76.964,77.858,79.636,80.430,79.757,78.525,78.090,78.492,79.917,81.149,83.777,84.695,86.622,88.796,89.109,89.919,91.050,92.461,95.669,100.000,103.759,104.237,105.519,104.281,104.679,106.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,          Compensation of general government employees,W130RA3,67.236,68.116,70.361,72.425,72.603,76.232,77.567,81.411,83.239,85.390,85.278,87.590,85.009,83.404,84.605,84.650,84.843,83.604,85.070,87.221,87.701,92.063,91.818,93.477,93.404,90.771,87.154,84.825,84.304,85.284,85.447,88.098,88.049,89.748,91.945,91.063,90.885,90.910,91.460,94.870,100.000,104.282,103.129,103.601,100.570,100.459,101.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,          Consumption of general government fixed capital \2\,B546RA3,24.295,26.301,27.973,29.477,30.954,32.325,33.680,35.124,36.747,38.716,40.788,42.863,44.773,46.335,47.677,49.042,50.430,51.861,53.346,54.891,56.479,58.297,60.273,62.101,63.790,65.311,66.827,68.613,70.115,72.063,74.627,77.197,79.393,81.624,83.754,85.938,88.354,91.324,94.194,97.054,100.000,102.830,106.249,108.993,111.001,112.331,113.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,        Intermediate goods and services purchased \3\,W131RA3,13.129,13.355,16.483,21.842,20.325,22.470,24.304,20.950,22.976,24.661,26.218,29.129,30.883,27.997,34.035,29.349,35.034,39.401,34.854,25.598,34.979,39.724,40.601,45.575,41.456,44.668,44.824,41.761,46.010,44.240,42.040,45.719,53.898,65.007,70.701,76.069,79.815,83.443,79.502,89.351,100.000,110.081,95.807,96.225,87.511,88.316,87.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,          Durable goods,A543RA3,3.474,3.968,5.134,8.125,7.364,7.973,8.551,8.951,11.676,13.277,15.607,17.499,16.532,15.063,16.299,17.643,18.152,17.906,20.274,21.524,24.181,27.676,29.224,31.789,31.042,29.234,28.599,32.543,35.108,35.115,39.449,43.451,46.605,57.156,58.994,65.183,71.322,79.939,81.636,92.648,100.000,110.614,102.808,104.249,96.747,100.256,100.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,          Nondurable goods,ZZZZZZ3,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,            Commodity Credit Corporation inventory change,ZZZZZZ3,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
